FSR_weight1 (g), FSR_weight2 (g), FSR_weight3 (g), Pressure (PSI) 
0.00, 0.00, 0.00, 14.31
0.00, 0.00, 0.00, 16.27
0.00, 0.00, 0.00, 16.27
0.00, 0.00, 0.00, 16.26
0.00, 0.00, 0.00, 16.26
0.00, 0.00, 0.00, 16.26
0.00, 0.00, 0.00, 16.25
0.00, 0.00, 0.00, 16.25
0.00, 0.00, 0.00, 16.25
0.00, 0.00, 0.00, 16.24
0.00, 0.00, 0.00, 16.24
0.00, 0.00, 0.00, 16.24
0.00, 0.00, 0.00, 16.22
0.00, 0.00, 0.00, 16.05
0.00, 0.00, 0.00, 15.84
0.00, 0.00, 0.00, 15.65
0.00, 0.00, 0.00, 15.47
0.00, 0.00, 0.00, 15.30
0.00, 0.00, 0.00, 15.14
0.00, 0.00, 0.00, 14.99
0.00, 0.00, 0.00, 14.85
0.00, 0.00, 0.00, 14.71
0.00, 0.00, 0.00, 14.54
0.00, 0.00, 0.00, 14.36
0.00, 0.00, 0.00, 14.18
0.00, 0.00, 0.00, 14.21
0.00, 0.00, 0.00, 14.40
0.00, 0.00, 0.00, 14.23
0.00, 0.00, 0.00, 14.06
0.00, 0.00, 0.00, 13.89
0.00, 0.00, 0.00, 13.74
0.00, 0.00, 0.00, 13.59
0.00, 0.00, 0.00, 13.46
0.00, 0.00, 0.00, 13.32
0.00, 0.00, 0.00, 13.18
0.00, 0.00, 0.00, 13.04
0.00, 0.00, 0.00, 12.94
0.00, 0.00, 0.00, 12.99
0.00, 0.00, 0.00, 13.01
0.00, 0.00, 0.00, 13.03
0.00, 0.00, 0.00, 13.04
0.00, 0.00, 0.00, 13.05
0.00, 0.00, 0.00, 13.07
0.00, 0.00, 0.00, 13.08
0.00, 0.00, 0.00, 13.09
0.00, 0.00, 0.00, 13.10
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.72
0.00, 0.00, 0.00, 14.72
