FSR_weight1 (g), FSR_weight2 (g), FSR_weight3 (g), Pressure (PSI) 
0.00, 0.00, 0.00, 14.77
0.00, 0.00, 0.00, 16.10
0.00, 0.00, 0.00, 16.11
0.00, 0.00, 0.00, 16.11
0.00, 0.00, 0.00, 16.11
0.00, 0.00, 0.00, 16.11
0.00, 0.00, 0.00, 16.11
0.00, 0.00, 0.00, 16.11
0.00, 0.00, 0.00, 16.11
0.00, 0.00, 0.00, 16.11
0.00, 0.00, 0.00, 16.11
0.00, 0.00, 0.00, 16.12
0.00, 0.00, 0.00, 16.12
0.00, 0.00, 0.00, 16.12
0.00, 0.00, 0.00, 16.12
0.00, 0.00, 0.00, 16.12
0.00, 0.00, 0.00, 16.12
0.00, 0.00, 0.00, 16.13
0.00, 0.00, 0.00, 16.13
0.00, 0.00, 0.00, 16.13
0.00, 0.00, 0.00, 16.13
0.00, 0.00, 0.00, 16.14
0.00, 0.00, 0.00, 16.14
0.00, 0.00, 0.00, 16.14
0.00, 0.00, 0.00, 16.15
0.00, 0.00, 0.00, 16.15
0.00, 0.00, 0.00, 16.16
0.00, 0.00, 0.00, 16.16
0.00, 0.00, 0.00, 16.17
0.00, 0.00, 0.00, 16.17
0.00, 0.00, 0.00, 16.18
0.00, 0.00, 0.00, 16.18
0.00, 0.00, 0.00, 16.18
0.00, 0.00, 0.00, 16.19
0.00, 0.00, 0.00, 16.19
0.00, 0.00, 0.00, 16.20
0.00, 0.00, 0.00, 16.20
0.00, 0.00, 0.00, 16.21
0.00, 0.00, 0.00, 16.22
0.00, 0.00, 0.00, 16.22
0.00, 0.00, 0.00, 16.23
0.00, 0.00, 0.00, 16.24
0.00, 0.00, 0.00, 16.25
0.00, 0.00, 0.00, 16.25
0.00, 0.00, 0.00, 16.26
0.00, 0.00, 0.00, 16.27
0.00, 0.00, 0.00, 16.28
0.00, 0.00, 0.00, 16.28
0.00, 0.00, 0.00, 16.29
0.00, 0.00, 0.00, 16.30
0.00, 0.00, 0.00, 16.31
0.00, 0.00, 0.00, 16.32
0.00, 0.00, 0.00, 16.33
0.00, 0.00, 0.00, 16.70
0.00, 0.00, 0.00, 15.79
0.00, 0.00, 0.00, 15.25
0.00, 0.00, 0.00, 15.31
0.00, 0.00, 0.00, 15.33
0.00, 0.00, 0.00, 15.33
0.00, 0.00, 0.00, 15.33
0.00, 0.00, 0.00, 15.32
0.00, 0.00, 0.00, 15.31
0.00, 0.00, 0.00, 15.29
0.00, 0.00, 0.00, 15.27
0.00, 0.00, 0.00, 14.97
0.00, 0.00, 0.00, 14.82
0.00, 0.00, 0.00, 14.81
0.00, 0.00, 0.00, 14.95
0.00, 0.00, 0.00, 14.90
0.00, 0.00, 0.00, 14.89
0.00, 0.00, 0.00, 15.01
0.00, 0.00, 0.00, 14.88
0.00, 0.00, 0.00, 14.75
0.00, 0.00, 0.00, 14.87
0.00, 0.00, 0.00, 14.82
0.00, 0.00, 0.00, 14.98
0.00, 0.00, 0.00, 14.92
0.00, 0.00, 0.00, 14.90
0.00, 0.00, 0.00, 14.91
0.00, 0.00, 0.00, 14.90
0.00, 0.00, 0.00, 14.87
0.00, 0.00, 0.00, 14.89
0.00, 0.00, 0.00, 14.90
0.00, 0.00, 0.00, 14.98
0.00, 0.00, 0.00, 14.99
0.00, 0.00, 0.00, 15.16
0.00, 0.00, 0.00, 15.27
0.00, 0.00, 0.00, 14.74
0.00, 0.00, 0.00, 14.66
0.00, 0.00, 0.00, 14.66
0.00, 0.00, 0.00, 14.66
0.00, 0.00, 0.00, 14.66
